"Date","Index","Close","Close_scale"
"2020-06-08","MSFT",188.360001,117.27
"2020-06-09","MSFT",189.800003,118.17
"2020-06-10","MSFT",196.839996,122.55
"2020-06-11","MSFT",186.270004,115.97
"2020-06-12","MSFT",187.740005,116.88
"2020-06-15","MSFT",188.940002,117.63
"2020-06-16","MSFT",193.570007,120.51
"2020-06-17","MSFT",194.240005,120.93
"2020-06-18","MSFT",196.320007,122.23
"2020-06-19","MSFT",195.149994,121.5
"2020-06-22","MSFT",200.570007,124.87
"2020-06-23","MSFT",201.910004,125.71
"2020-06-24","MSFT",197.839996,123.17
"2020-06-25","MSFT",200.339996,124.73
"2020-06-26","MSFT",196.330002,122.23
"2020-06-29","MSFT",198.440002,123.55
"2020-06-30","MSFT",203.509995,126.7
"2020-07-01","MSFT",204.699997,127.44
"2020-07-02","MSFT",206.259995,128.41
"2020-07-06","MSFT",210.699997,131.18
"2020-07-07","MSFT",208.25,129.65
"2020-07-08","MSFT",212.830002,132.51
"2020-07-09","MSFT",214.320007,133.43
"2020-07-10","MSFT",213.669998,133.03
"2020-07-13","MSFT",207.070007,128.92
"2020-07-14","MSFT",208.350006,129.72
"2020-07-15","MSFT",208.039993,129.52
"2020-07-16","MSFT",203.919998,126.96
"2020-07-17","MSFT",202.880005,126.31
"2020-07-20","MSFT",211.600006,131.74
"2020-07-21","MSFT",208.75,129.97
"2020-07-22","MSFT",211.75,131.83
"2020-07-23","MSFT",202.539993,126.1
"2020-07-24","MSFT",201.300003,125.33
"2020-07-27","MSFT",203.850006,126.91
"2020-07-28","MSFT",202.020004,125.78
"2020-07-29","MSFT",204.059998,127.05
"2020-07-30","MSFT",203.899994,126.95
"2020-07-31","MSFT",205.009995,127.64
"2020-08-03","MSFT",216.539993,134.82
"2020-08-04","MSFT",213.289993,132.79
"2020-08-05","MSFT",212.940002,132.57
"2020-08-06","MSFT",216.350006,134.7
"2020-08-07","MSFT",212.479996,132.29
"2020-08-10","MSFT",208.25,129.65
"2020-08-11","MSFT",203.380005,126.62
"2020-08-12","MSFT",209.190002,130.24
"2020-08-13","MSFT",208.699997,129.93
"2020-08-14","MSFT",208.899994,130.06
"2020-08-17","MSFT",210.279999,130.92
"2020-08-18","MSFT",211.490005,131.67
"2020-08-19","MSFT",209.699997,130.56
"2020-08-20","MSFT",214.580002,133.59
"2020-08-21","MSFT",213.020004,132.62
"2020-08-24","MSFT",213.690002,133.04
"2020-08-25","MSFT",216.470001,134.77
"2020-08-26","MSFT",221.149994,137.69
"2020-08-27","MSFT",226.580002,141.07
"2020-08-28","MSFT",228.910004,142.52
"2020-08-31","MSFT",225.529999,140.41
"2020-09-01","MSFT",227.270004,141.5
"2020-09-02","MSFT",231.649994,144.22
"2020-09-03","MSFT",217.300003,135.29
"2020-09-04","MSFT",214.25,133.39
"2020-09-08","MSFT",202.660004,126.17
"2020-09-09","MSFT",211.289993,131.55
"2020-09-10","MSFT",205.369995,127.86
"2020-09-11","MSFT",204.029999,127.03
"2020-09-14","MSFT",205.410004,127.89
"2020-09-15","MSFT",208.779999,129.98
"2020-09-16","MSFT",205.050003,127.66
"2020-09-17","MSFT",202.910004,126.33
"2020-09-18","MSFT",200.389999,124.76
